Entidad_federativa,Municipio,Tipo_de_Fuente,SO_2,CO,NOx,COV,PM_010,PM_2_5,NH_3,Entidad
Nuevo León,San Nicolás de los Garza,Fuentes fijas,3365.397,736.936,2222.338,3873.291,955.373,626.537,26.871,Nuevo León
Nuevo León,San Nicolás de los Garza,Fuentes de área,0.8469999999999999,188.933,91.848,5350.305,94.388,47.007,441.34,Nuevo León
Nuevo León,San Nicolás de los Garza,Fuentes móviles carreteros,18.928,27229.823,7951.712,2812.702,196.062,178.796,55.286,Nuevo León
Nuevo León,San Nicolás de los Garza,Fuentes móviles que no circulan por carretera,8.407999999999998,118.042,239.537,24.18,20.075,19.472,0.0729999999999999,Nuevo León
Nuevo León,San Nicolás de los Garza,Fuentes naturales,,,0.916,29.432,,,,Nuevo León
Nuevo León,Hidalgo,Fuentes fijas,0.0,0.0,0.0,0.0,0.2119999999999999,0.106,0.0,Nuevo León
Nuevo León,Hidalgo,Fuentes de área,0.053,11.177,2.565,135.032,8.255,3.06,111.602,Nuevo León
Nuevo León,Hidalgo,Fuentes móviles carreteros,0.3669999999999999,564.057,159.33,56.834,3.764,3.43,1.039,Nuevo León
Nuevo León,Hidalgo,Fuentes móviles que no circulan por carretera,0.186,2.034,20.234,0.756,0.509,0.458,0.0,Nuevo León
Nuevo León,Hidalgo,Fuentes naturales,,,39.3,88.91299999999998,,,,Nuevo León
Nuevo León,Santa Catarina,Fuentes fijas,5.998,160.833,255.414,976.325,2099.122,1253.202,5.534,Nuevo León
Nuevo León,Santa Catarina,Fuentes de área,1.047,246.669,62.372,4115.107,170.232,57.537,349.971,Nuevo León
Nuevo León,Santa Catarina,Fuentes móviles carreteros,7.931,10671.597,3743.338,1116.958,106.805,97.656,22.791,Nuevo León
Nuevo León,Santa Catarina,Fuentes móviles que no circulan por carretera,9.709,135.215,305.599,28.355,23.31,22.541,0.081,Nuevo León
Nuevo León,Santa Catarina,Fuentes naturales,,,31.565,190.103,,,,Nuevo León
Nuevo León,Santiago,Fuentes fijas,0.497,0.4919999999999999,5.147,0.021,82.08799999999998,49.712,0.044,Nuevo León
Nuevo León,Santiago,Fuentes de área,0.457,99.242,11.107,471.349,62.811,21.257,66.523,Nuevo León
Nuevo León,Santiago,Fuentes móviles carreteros,2.057,2682.752,1126.335,293.134,36.173,33.127,5.873,Nuevo León
Nuevo León,Santiago,Fuentes móviles que no circulan por carretera,0.012,0.106,0.33,0.025,0.02,0.02,0.0,Nuevo León
Nuevo León,Santiago,Fuentes naturales,,,123.401,1010.87,,,,Nuevo León
Nuevo León,Vallecillo,Fuentes de área,0.059,14.259,0.946,41.929,58.114,10.54,86.95699999999998,Nuevo León
Nuevo León,Vallecillo,Fuentes móviles carreteros,0.03,55.334,10.059,5.376,0.097,0.0859999999999999,0.0889999999999999,Nuevo León
Nuevo León,Vallecillo,Fuentes móviles que no circulan por carretera,0.159,1.467,4.558,0.3509999999999999,0.279,0.27,0.001,Nuevo León
Nuevo León,Vallecillo,Fuentes naturales,,,232.061,1021.681,,,,Nuevo León
Nuevo León,Villaldama,Fuentes de área,0.063,16.287,1.328,61.656,32.182,7.619,43.137,Nuevo León
Nuevo León,Villaldama,Fuentes móviles carreteros,0.091,154.7,32.519,15.537,0.4849999999999999,0.437,0.268,Nuevo León
